Text,Label
เหมาะสมกับราคา,  B-ValuePos
คุ้มค่ามาก,  I-ValuePos
พนักงานบริการดี,  B-ServicePos
การแนะนำ,  I-ServicePos
การอำนวยความสะดวกต่าง,  I-ServicePos
ๆ,  I-ServicePos
คุ้มค่าคุ้มราคาครับ,  B-ValuePos
สะอาด,  B-CleanPos
สะดวกสบาย,  B-ConveniencePos
เป็นมิตรกับเด็กและสัตว์เลี้ยง,  I-ConveniencePos
ทำเลดี,  B-LocationPos
เดินทางสะดวก,  I-LocationPos
โรงแรมสวย,  O
บริการดี,  B-ServicePos
อาหารอร่อย,  B-FoodPos
พนักงานบริการดีมาก,  B-ServicePos
ที่พักสะดวกสบาย,  B-ConveniencePos
ราคาประหยัด,  B-PricePos
สามารถนำสุนัขเข้าพักได้ด้วย,  I-PricePos
พนักงานบริการดี,  B-ServicePos
ห้องพักสะอาดมากค่ะคุ้มราคา,  B-ValuePos
บริการดีคะ,  B-ServicePos
ห้องพักสะอาดเรียบร้อย,  B-CleanPos
สิ่งอำนวยความสะดวกดีคะ,  B-FacilitiesPos
อาการเช้าดีคะ,  B-FoodPos
ที่พักราคาดีมาก,  B-PricePos
คุ้มค่ากับที่จ่าย,  B-ValuePos
เดินทางสะดวก,  B-LocationPos
ใกล้ทะเล,  I-LocationPos
ใกล้แหล่งท่องเที่ยว,  I-LocationPos
ไปหัวหินเลือกที่นี้,  I-LocationPos
แน่นอน,  I-LocationPos
อยู่ไม่ไกลจากชายหาด,  B-LocationPos
การเดินทางสะดวก,  I-LocationPos
ติดทะเล,  B-LocationPos
บริการดี,  B-ServicePos
สะดวกสบาย,  B-ConveniencePos
สะอาด,  B-CleanPos
น้องหมาพักได้,  O
ราคาไม่แพง,  B-PricePos
แอร์เย็น,  O
ห้องพักสะอาด,  B-CleanPos
ทำเลดี,  B-LocationPos
ที่พักสะอาด,  B-CleanPos
สิ่งอำยวยความสะดวกครบ,  B-FacilitiesPos
ไม่ไกลตัวเมือง,  B-LocationPos
ทำเลที่ตั้งดีห้องสะอาดพนักงาน,  B-LocationPos
ดูแลเอาใจใส่,  B-ServicePos
ที่สำคัญทำเลที่ตั้ง,  B-LocationPos
อยู่ใกล้ตลาดซิเคด้าเดินไปได้เลย,  I-LocationPos
แนะนำครับ,  B-RecommendPos
เน้นเที่ยวแบบคุ้มค่า,  B-RecommendPos
แนะนำ,  I-RecommendPos
เรามาเยี่ยมญาติประจวบฯ,  I-RecommendPos
ก็เลยจองที่นี่,  I-RecommendPos
อาหารเช้าอร่อยดี,  B-FoodPos
มีโซนสำหรับผู้เข้าพักที่นำสัตว์เลี้ยงมา,  I-FoodPos
นำสัตว์เลี้ยงเข้าพักได้,  I-FoodPos
(,  O
ลองสอบถามที่พักก่อน,  O
),  O
ห้องพักดีมากค่ะ,  B-RoomPos
พนักงานพูดจาน่ารัก,  B-ServicePos
ห้องพักสะอาดใช้ทุกส่วนของห้องได้คุ้มค่ามาก,  B-CleanPos
ในห้องน้ำมีไดร์เป่าผม,  B-FacilitiesPos
อาหารในโรงแรมก็มีให้สั่งได้ตลอด,  B-FoodPos
อาหารเช้าก็บุฟเฟต์มีหลากหลาย,  B-VariousPos
ชอบมากๆค่ะ,  I-VariousPos
ข้างโรงแรมก็สามารถเดินไปริมหาดได้,  B-LocationPos
ใกล้กลับตลาดตอนกลางคืนอีกด้วย,  I-LocationPos
ไว้มีโอกาสจะกลับไปใหม่ค่ะ,  B-ImpressedPos
สรุปโดยรวมไม่คุ้มค่า,  B-ValueNeg
เทียบกับราคา,  I-ValueNeg
ความสะอาดของห้องพักไม่ดี,  B-CleanNeg
ห้องค่อนข้างสกปรก,  I-CleanNeg
มีฝุ่น,  I-CleanNeg
ผ้าเช็ดตัวไม่พอ,  B-FacilitiesNeg
พนักงงานบริการช้ามาก,  B-ServiceNeg
มีน้อย,  I-ServiceNeg
ต้องปรับปรุง,  I-ServiceNeg
ห้องพักเก่าและเหม็นอับไม่ได้,  B-RoomNeg
มีการดู,  I-RoomNeg
แลความสะอาด,  I-RoomNeg
ได้รับบริการแบบแย่ๆ,  B-ServiceNeg
ขาดความใส่ใจ,  I-ServiceNeg
ราคาแพงเมื่อเทียบกับห้องพักเก่า,  B-ValueNeg
พนักงานบริการไม่ดี,  B-ServiceNeg
ห้องเก่า,  B-RoomNeg
จะไม่มาพักอีก,  I-RoomNeg
พนักงานบริการช้า,  B-ServiceNeg
ไม่เต็มใจในการให้การบริการลูกค้า,  I-ServiceNeg
ในการสอบถามเรื่องการเช็คอิน,  I-ServiceNeg
การขอออกบิล,  I-ServiceNeg
ดีมาก,  B-ServicePos
พนักงานบริการดี,  I-ServicePos
ที่ตั้งโรงแรมค่อนข้างเดินทางสะดวก,  B-LocationPos
ดินทางสะดวก,  B-LocationPos
ติดบีทีเอส,  I-LocationPos
พนักงานบริการดี,  B-ServicePos
ห้องพักสะอาด,  B-CleanPos
ไม่คุ้มค่ากับราคาที่จ่าย,  B-ValueNeg
พนักงานไม่มีการบริหาร,  B-ServiceNeg
จัดการที่ดี,  I-ServiceNeg
ไม่มีความสะดวก,  I-ServiceNeg
ให้ลูกค้านั่งรอเช็คอินมากกว่า,  I-ServiceNeg
1,  I-ServiceNeg
ชั่วโมง,  I-ServiceNeg
#,  B-ImpressedNeg
ไม่ประทับใจ,  I-ImpressedNeg
การบริการแย่,  B-ServiceNeg
มีปัญหากับการบุ๊ค,  I-ServiceNeg
จองห้องของอโกด้า,  I-ServiceNeg
พนักงาน,  I-ServiceNeg
และผู้จัดการฝ่ายต้อนรับ,  I-ServiceNeg
ไม่สนใจไยดี,  I-ServiceNeg
บอกอย่างเดียวให้ออกไปติดต่ออโกด้าเอง,  I-ServiceNeg
ห้องพักรีโนเวทใหม่,  B-RoomPos
สะอาด,  B-CleanPos
มีสระว่ายน้ำ,  B-FacilitiesPos
และฟิตเนสที่ดีมาก,  I-FacilitiesPos
ที่จอดรถเพียบ,  I-FacilitiesPos
อยู่ย่านของกินอร่อยๆ,  O
พนักงานบริการดี,  B-ServicePos
ชอบๆๆไว้มีโอกาสจะมาพักอีก,  I-ServicePos
ห้องสะอาด,  B-CleanPos
อุปกรณ์อำนวยความสะดวกครบๆ,  B-FacilitiesPos
พนักงานทุกจุดคือดูแลดี,  B-ServicePos
พูดจาสุภาพ,  I-ServicePos
เราลืมสายชาร์จไว้ในห้อง,  I-ServicePos
ทางโรงแรมก็ส่งไปรษณีย์มาคืนให้,  I-ServicePos
ขอบคุณมากๆเลยค่ะ,  I-ServicePos
ห้องพักสะอาด,  B-CleanPos
ที่จอดรถเยอะ,  B-FacilitiesPos
ข้าวต้มอร่อยมาก,  B-FoodPos
เสียอย่างเดียวห้องไม่เก็บเสียงเลย,  B-RoomNeg
เสียงคุยกันข้างนอก,  I-RoomNeg
คนจ้างในยังได้ยินคือดังมากนเสียงปิดประตูดังทั้งคืน,  I-RoomNeg
โดนรวมคือดี,  O
จองช่วงเข้ารับปริญญา,  B-LocationPos
ใกล้มอเดินทางสะดวก,  I-LocationPos
ห้องสะอาด,  B-CleanPos
พนักงานบริการดี,  B-ServicePos
พูดจาดี,  I-ServicePos
วิวที่พักฟิวคอนโดทั่วไป,  B-ViewNeu
แนะนำค่าาา,  B-RecommendPos
ส่วนตัวชอบทำเลที่พักมากค่ะ,  B-LocationPos
